type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,49,56303562
update-file,secs/acks.tex,2,781,49,24030240
update-file,secs/acks.tex,3,781,49,36783424
update-file,secs/acks.tex,4,781,49,19307096
update-file,secs/acks.tex,5,781,49,22752679
update-file,secs/acks.tex,6,781,49,28055744
update-file,secs/acks.tex,7,781,49,25114729
update-file,secs/acks.tex,8,781,49,63001381
update-file,secs/acks.tex,9,781,49,26286593
update-file,secs/acks.tex,10,781,49,41965311
update-file,secs/acks.tex,11,781,49,70003123
update-file,secs/acks.tex,12,781,49,40470665
update-file,secs/acks.tex,13,781,49,36208968
update-file,secs/acks.tex,14,781,49,25768558
update-file,secs/acks.tex,15,781,49,59075586
update-file,secs/acks.tex,16,781,49,71448280
update-file,secs/acks.tex,17,781,49,24572582
update-file,secs/acks.tex,18,781,49,24740719
update-file,secs/acks.tex,19,781,49,44175418
update-file,secs/acks.tex,20,781,49,22613575
update-file,secs/acks.tex,21,781,49,24735349
update-file,secs/acks.tex,22,781,49,75620910
update-file,secs/acks.tex,23,781,49,103226839
update-file,secs/acks.tex,24,781,49,49373373
update-file,secs/acks.tex,25,781,49,20230348
update-file,secs/acks.tex,26,781,49,80472951
update-file,secs/acks.tex,27,781,49,23679410
update-file,secs/acks.tex,28,781,49,43153586
update-file,secs/acks.tex,29,781,49,34304057
update-file,secs/acks.tex,30,781,49,28043435
update-file,secs/acks.tex,31,781,49,52826499
update-file,secs/acks.tex,32,781,49,23067613
update-file,secs/acks.tex,33,781,49,85290062
update-file,secs/acks.tex,34,781,49,38414366
update-file,secs/acks.tex,35,781,49,26939399
update-file,secs/acks.tex,36,781,49,21108735
update-file,secs/acks.tex,37,781,49,25086759
update-file,secs/acks.tex,38,781,49,26109885
update-file,secs/acks.tex,39,781,49,31617337
update-file,secs/acks.tex,40,781,49,27128474
update-file,secs/acks.tex,41,781,49,70396411
update-file,secs/acks.tex,42,781,49,35642522
update-file,secs/acks.tex,43,781,49,25547448
update-file,secs/acks.tex,44,781,49,41061725
update-file,secs/acks.tex,45,781,49,21276770
update-file,secs/acks.tex,46,781,49,26820831
update-file,secs/acks.tex,47,781,49,41469059
update-file,secs/acks.tex,48,781,49,25858940
update-file,secs/acks.tex,49,781,49,27787106
update-file,secs/acks.tex,50,781,49,32425287
update-file,secs/multi.tex,1,1217,50,23339200
update-file,secs/multi.tex,2,1217,50,37707099
update-file,secs/multi.tex,3,1217,50,25420141
update-file,secs/multi.tex,4,1217,50,24546847
update-file,secs/multi.tex,5,1217,50,57966569
update-file,secs/multi.tex,6,1217,50,60266453
update-file,secs/multi.tex,7,1217,50,60001538
update-file,secs/multi.tex,8,1217,50,39621218
update-file,secs/multi.tex,9,1217,50,78333576
update-file,secs/multi.tex,10,1217,50,26148640
update-file,secs/multi.tex,11,1217,50,25964462
update-file,secs/multi.tex,12,1217,50,48082445
update-file,secs/multi.tex,13,1217,50,27445953
update-file,secs/multi.tex,14,1217,50,27724409
update-file,secs/multi.tex,15,1217,50,66459399
update-file,secs/multi.tex,16,1217,50,26510346
update-file,secs/multi.tex,17,1217,50,27746643
update-file,secs/multi.tex,18,1217,50,25650552
update-file,secs/multi.tex,19,1217,50,25844357
update-file,secs/multi.tex,20,1217,50,43245238
update-file,secs/multi.tex,21,1217,50,43155835
update-file,secs/multi.tex,22,1217,50,64899158
update-file,secs/multi.tex,23,1217,50,27807649
update-file,secs/multi.tex,24,1217,50,24385791
update-file,secs/multi.tex,25,1217,50,56532309
update-file,secs/multi.tex,26,1217,50,23521264
update-file,secs/multi.tex,27,1217,50,21030286
update-file,secs/multi.tex,28,1217,50,37876319
update-file,secs/multi.tex,29,1217,50,73363101
update-file,secs/multi.tex,30,1217,50,43467703
update-file,secs/multi.tex,31,1217,50,24756409
update-file,secs/multi.tex,32,1217,50,48945924
update-file,secs/multi.tex,33,1217,50,22049473
update-file,secs/multi.tex,34,1217,50,46687027
update-file,secs/multi.tex,35,1217,50,25037124
update-file,secs/multi.tex,36,1217,50,19384887
update-file,secs/multi.tex,37,1217,50,30076243
update-file,secs/multi.tex,38,1217,50,27550992
update-file,secs/multi.tex,39,1217,50,25756758
update-file,secs/multi.tex,40,1217,50,25234337
update-file,secs/multi.tex,41,1217,50,20880250
update-file,secs/multi.tex,42,1217,50,27003358
update-file,secs/multi.tex,43,1217,50,25037987
update-file,secs/multi.tex,44,1217,50,26978602
update-file,secs/multi.tex,45,1217,50,24666577
update-file,secs/multi.tex,46,1217,50,100302474
update-file,secs/multi.tex,47,1217,50,24433760
update-file,secs/multi.tex,48,1217,50,21892190
update-file,secs/multi.tex,49,1217,50,115201868
update-file,secs/multi.tex,50,1217,50,22503137
update-file,secs/core.tex,1,12157,49,92730395
update-file,secs/core.tex,2,12157,49,47138106
update-file,secs/core.tex,3,12157,49,26171350
