type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,42,1256263
update-file,secs/acks.tex,2,781,42,1202794
update-file,secs/acks.tex,3,781,42,1369867
update-file,secs/acks.tex,4,781,42,1252370
update-file,secs/acks.tex,5,781,42,1220341
update-file,secs/acks.tex,6,781,42,1195973
update-file,secs/acks.tex,7,781,42,1247363
update-file,secs/acks.tex,8,781,42,1256010
update-file,secs/acks.tex,9,781,42,1272372
update-file,secs/acks.tex,10,781,42,1232846
update-file,secs/acks.tex,11,781,42,1244634
update-file,secs/acks.tex,12,781,42,1244439
update-file,secs/acks.tex,13,781,42,1395269
update-file,secs/acks.tex,14,781,42,1251985
update-file,secs/acks.tex,15,781,42,1208625
update-file,secs/acks.tex,16,781,42,1273470
update-file,secs/acks.tex,17,781,42,1260515
update-file,secs/acks.tex,18,781,42,1282798
update-file,secs/acks.tex,19,781,42,1280602
update-file,secs/acks.tex,20,781,42,1327419
update-file,secs/acks.tex,21,781,42,1161734
update-file,secs/acks.tex,22,781,42,1189117
update-file,secs/acks.tex,23,781,42,1222801
update-file,secs/acks.tex,24,781,42,1188439
update-file,secs/acks.tex,25,781,42,1203586
update-file,secs/acks.tex,26,781,42,1197457
update-file,secs/acks.tex,27,781,42,1176332
update-file,secs/acks.tex,28,781,42,1201186
update-file,secs/acks.tex,29,781,42,1228027
update-file,secs/acks.tex,30,781,42,1194659
update-file,secs/acks.tex,31,781,42,1230096
update-file,secs/acks.tex,32,781,42,1167990
update-file,secs/acks.tex,33,781,42,1230415
update-file,secs/acks.tex,34,781,42,1163411
update-file,secs/acks.tex,35,781,42,1201266
update-file,secs/acks.tex,36,781,42,1194906
update-file,secs/acks.tex,37,781,42,1219870
update-file,secs/acks.tex,38,781,42,1298963
update-file,secs/acks.tex,39,781,42,1204587
update-file,secs/acks.tex,40,781,42,1312376
update-file,secs/acks.tex,41,781,42,1228357
update-file,secs/acks.tex,42,781,42,1239875
update-file,secs/acks.tex,43,781,42,1252657
update-file,secs/acks.tex,44,781,42,1552946
update-file,secs/acks.tex,45,781,42,1260385
update-file,secs/acks.tex,46,781,42,1182281
update-file,secs/acks.tex,47,781,42,1201054
update-file,secs/acks.tex,48,781,42,1202201
update-file,secs/acks.tex,49,781,42,1223938
update-file,secs/acks.tex,50,781,42,1188031
update-file,secs/multi.tex,1,1217,43,1199150
update-file,secs/multi.tex,2,1217,43,1178446
update-file,secs/multi.tex,3,1217,43,1176907
update-file,secs/multi.tex,4,1217,43,1179202
update-file,secs/multi.tex,5,1217,43,1192177
update-file,secs/multi.tex,6,1217,43,1244021
update-file,secs/multi.tex,7,1217,43,1168056
update-file,secs/multi.tex,8,1217,43,1210795
update-file,secs/multi.tex,9,1217,43,1197463
update-file,secs/multi.tex,10,1217,43,1191570
update-file,secs/multi.tex,11,1217,43,1184931
update-file,secs/multi.tex,12,1217,43,1254409
update-file,secs/multi.tex,13,1217,43,1269195
update-file,secs/multi.tex,14,1217,43,1313670
update-file,secs/multi.tex,15,1217,43,1296833
update-file,secs/multi.tex,16,1217,43,1287135
update-file,secs/multi.tex,17,1217,43,1302190
update-file,secs/multi.tex,18,1217,43,1258585
update-file,secs/multi.tex,19,1217,43,1271019
update-file,secs/multi.tex,20,1217,43,1202278
update-file,secs/multi.tex,21,1217,43,1197585
update-file,secs/multi.tex,22,1217,43,1178346
update-file,secs/multi.tex,23,1217,43,1231859
update-file,secs/multi.tex,24,1217,43,1249394
update-file,secs/multi.tex,25,1217,43,1266879
update-file,secs/multi.tex,26,1217,43,1242633
update-file,secs/multi.tex,27,1217,43,1206181
update-file,secs/multi.tex,28,1217,43,1208851
update-file,secs/multi.tex,29,1217,43,1167530
update-file,secs/multi.tex,30,1217,43,1221457
update-file,secs/multi.tex,31,1217,43,1204668
update-file,secs/multi.tex,32,1217,43,1198943
update-file,secs/multi.tex,33,1217,43,1197932
update-file,secs/multi.tex,34,1217,43,1259718
update-file,secs/multi.tex,35,1217,43,1231330
update-file,secs/multi.tex,36,1217,43,1431527
update-file,secs/multi.tex,37,1217,43,1379422
update-file,secs/multi.tex,38,1217,43,1310065
update-file,secs/multi.tex,39,1217,43,1274313
update-file,secs/multi.tex,40,1217,43,1336669
update-file,secs/multi.tex,41,1217,43,1304698
update-file,secs/multi.tex,42,1217,43,1212922
update-file,secs/multi.tex,43,1217,43,1231252
update-file,secs/multi.tex,44,1217,43,1270889
update-file,secs/multi.tex,45,1217,43,1200282
update-file,secs/multi.tex,46,1217,43,1207354
update-file,secs/multi.tex,47,1217,43,1211086
update-file,secs/multi.tex,48,1217,43,1195674
update-file,secs/multi.tex,49,1217,43,1450928
update-file,secs/multi.tex,50,1217,43,1211642
update-file,secs/core.tex,1,12157,42,1492336
update-file,secs/core.tex,2,12157,42,1446354
update-file,secs/core.tex,3,12157,42,1323365
update-file,secs/core.tex,4,12157,42,1343950
update-file,secs/core.tex,5,12157,42,1328712
update-file,secs/core.tex,6,12157,42,1403350
update-file,secs/core.tex,7,12157,42,1423618
update-file,secs/core.tex,8,12157,42,1356233
update-file,secs/core.tex,9,12157,42,1361621
update-file,secs/core.tex,10,12157,42,1434237
update-file,secs/core.tex,11,12157,42,1380318
update-file,secs/core.tex,12,12157,42,1399927
update-file,secs/core.tex,13,12157,42,1390394
update-file,secs/core.tex,14,12157,42,1382081
update-file,secs/core.tex,15,12157,42,1451413
update-file,secs/core.tex,16,12157,42,1395302
update-file,secs/core.tex,17,12157,42,1396497
update-file,secs/core.tex,18,12157,42,1366182
update-file,secs/core.tex,19,12157,42,1354271
update-file,secs/core.tex,20,12157,42,1411873
update-file,secs/core.tex,21,12157,42,1358058
update-file,secs/core.tex,22,12157,42,1415384
update-file,secs/core.tex,23,12157,42,1441229
update-file,secs/core.tex,24,12157,42,1359302
update-file,secs/core.tex,25,12157,42,1385815
update-file,secs/core.tex,26,12157,42,1412444
update-file,secs/core.tex,27,12157,42,1373953
update-file,secs/core.tex,28,12157,42,1343631
update-file,secs/core.tex,29,12157,42,1295654
update-file,secs/core.tex,30,12157,42,1298211
update-file,secs/core.tex,31,12157,42,1401892
update-file,secs/core.tex,32,12157,42,1332023
update-file,secs/core.tex,33,12157,42,1333399
update-file,secs/core.tex,34,12157,42,1316742
update-file,secs/core.tex,35,12157,42,1318125
update-file,secs/core.tex,36,12157,42,1290246
update-file,secs/core.tex,37,12157,42,1297116
update-file,secs/core.tex,38,12157,42,1316902
update-file,secs/core.tex,39,12157,42,1302891
update-file,secs/core.tex,40,12157,42,1307927
update-file,secs/core.tex,41,12157,42,1306057
update-file,secs/core.tex,42,12157,42,1314210
update-file,secs/core.tex,43,12157,42,1359266
update-file,secs/core.tex,44,12157,42,1372439
update-file,secs/core.tex,45,12157,42,1392169
update-file,secs/core.tex,46,12157,42,1420278
update-file,secs/core.tex,47,12157,42,1413610
update-file,secs/core.tex,48,12157,42,1383375
update-file,secs/core.tex,49,12157,42,1355259
update-file,secs/core.tex,50,12157,42,1409712
update-file,sampleteaser.pdf,1,585430,45,7602179
update-file,sampleteaser.pdf,2,585430,45,9646940
update-file,sampleteaser.pdf,3,585430,45,8168313
update-file,sampleteaser.pdf,4,585430,45,15227481
update-file,sampleteaser.pdf,5,585430,45,7335261
update-file,sampleteaser.pdf,6,585430,45,8033764
update-file,sampleteaser.pdf,7,585430,45,7497122
update-file,sampleteaser.pdf,8,585430,45,7068814
update-file,sampleteaser.pdf,9,585430,45,7064163
update-file,sampleteaser.pdf,10,585430,45,7083663
update-file,sampleteaser.pdf,11,585430,45,7268326
update-file,sampleteaser.pdf,12,585430,45,7747044
update-file,sampleteaser.pdf,13,585430,45,8492950
update-file,sampleteaser.pdf,14,585430,45,7717350
update-file,sampleteaser.pdf,15,585430,45,8583052
update-file,sampleteaser.pdf,16,585430,45,7738270
update-file,sampleteaser.pdf,17,585430,45,8137466
update-file,sampleteaser.pdf,18,585430,45,8899611
update-file,sampleteaser.pdf,19,585430,45,7332104
update-file,sampleteaser.pdf,20,585430,45,8271434
update-file,sampleteaser.pdf,21,585430,45,8911396
update-file,sampleteaser.pdf,22,585430,45,7323493
update-file,sampleteaser.pdf,23,585430,45,8082500
update-file,sampleteaser.pdf,24,585430,45,8167016
update-file,sampleteaser.pdf,25,585430,45,8085237
update-file,sampleteaser.pdf,26,585430,45,8130614
update-file,sampleteaser.pdf,27,585430,45,8317254
update-file,sampleteaser.pdf,28,585430,45,8091187
update-file,sampleteaser.pdf,29,585430,45,8442233
