type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,49,30970767
update-file,secs/acks.tex,2,781,49,24703916
update-file,secs/acks.tex,3,781,49,50154438
update-file,secs/acks.tex,4,781,49,101067918
update-file,secs/acks.tex,5,781,49,53640191
update-file,secs/acks.tex,6,781,49,25067262
update-file,secs/acks.tex,7,781,49,25410946
update-file,secs/acks.tex,8,781,49,46172060
update-file,secs/acks.tex,9,781,49,24141627
update-file,secs/acks.tex,10,781,49,45041155
update-file,secs/acks.tex,11,781,49,39430051
update-file,secs/acks.tex,12,781,49,30781609
update-file,secs/acks.tex,13,781,49,54583431
update-file,secs/acks.tex,14,781,49,78248471
update-file,secs/acks.tex,15,781,49,84315060
update-file,secs/acks.tex,16,781,49,73732650
update-file,secs/acks.tex,17,781,49,26527041
update-file,secs/acks.tex,18,781,49,52551053
update-file,secs/acks.tex,19,781,49,25153814
update-file,secs/acks.tex,20,781,49,25219086
update-file,secs/acks.tex,21,781,49,42808826
update-file,secs/acks.tex,22,781,49,48472909
update-file,secs/acks.tex,23,781,49,44784321
update-file,secs/acks.tex,24,781,49,57890839
update-file,secs/acks.tex,25,781,49,65137267
update-file,secs/acks.tex,26,781,49,23534373
update-file,secs/acks.tex,27,781,49,33832390
update-file,secs/acks.tex,28,781,49,59595983
update-file,secs/acks.tex,29,781,49,84114588
update-file,secs/acks.tex,30,781,49,41685383
update-file,secs/acks.tex,31,781,49,25363542
update-file,secs/acks.tex,32,781,49,24873297
update-file,secs/acks.tex,33,781,49,26877501
update-file,secs/acks.tex,34,781,49,30514801
update-file,secs/acks.tex,35,781,49,54295070
update-file,secs/acks.tex,36,781,49,53860370
update-file,secs/acks.tex,37,781,49,27631679
update-file,secs/acks.tex,38,781,49,28653396
update-file,secs/acks.tex,39,781,49,27172311
update-file,secs/acks.tex,40,781,49,119354087
update-file,secs/acks.tex,41,781,49,24419104
update-file,secs/acks.tex,42,781,49,26462634
update-file,secs/acks.tex,43,781,49,23847133
update-file,secs/acks.tex,44,781,49,24670875
update-file,secs/acks.tex,45,781,49,76313425
update-file,secs/acks.tex,46,781,49,22692004
update-file,secs/acks.tex,47,781,49,22509829
update-file,secs/acks.tex,48,781,49,47411975
update-file,secs/acks.tex,49,781,49,69306201
update-file,secs/acks.tex,50,781,49,27406138
update-file,secs/multi.tex,1,1217,50,26417693
update-file,secs/multi.tex,2,1217,50,24794308
update-file,secs/multi.tex,3,1217,50,30807246
update-file,secs/multi.tex,4,1217,50,25006024
update-file,secs/multi.tex,5,1217,50,42405109
update-file,secs/multi.tex,6,1217,50,25870397
update-file,secs/multi.tex,7,1217,50,27868168
update-file,secs/multi.tex,8,1217,50,24921409
update-file,secs/multi.tex,9,1217,50,57081748
update-file,secs/multi.tex,10,1217,50,31841428
update-file,secs/multi.tex,11,1217,50,29736773
update-file,secs/multi.tex,12,1217,50,26124939
update-file,secs/multi.tex,13,1217,50,40752568
update-file,secs/multi.tex,14,1217,50,26314112
update-file,secs/multi.tex,15,1217,50,26470425
update-file,secs/multi.tex,16,1217,50,27734607
update-file,secs/multi.tex,17,1217,50,26133530
update-file,secs/multi.tex,18,1217,50,49760064
update-file,secs/multi.tex,19,1217,50,77902410
update-file,secs/multi.tex,20,1217,50,24625966
update-file,secs/multi.tex,21,1217,50,85342756
update-file,secs/multi.tex,22,1217,50,32911255
update-file,secs/multi.tex,23,1217,50,26931619
update-file,secs/multi.tex,24,1217,50,41662210
update-file,secs/multi.tex,25,1217,50,78533864
update-file,secs/multi.tex,26,1217,50,25203134
update-file,secs/multi.tex,27,1217,50,71915341
update-file,secs/multi.tex,28,1217,50,27100387
update-file,secs/multi.tex,29,1217,50,83737626
update-file,secs/multi.tex,30,1217,50,86398750
update-file,secs/multi.tex,31,1217,50,25047900
update-file,secs/multi.tex,32,1217,50,29595119
update-file,secs/multi.tex,33,1217,50,26106787
update-file,secs/multi.tex,34,1217,50,25374411
update-file,secs/multi.tex,35,1217,50,22765385
update-file,secs/multi.tex,36,1217,50,27318359
update-file,secs/multi.tex,37,1217,50,29915545
update-file,secs/multi.tex,38,1217,50,26600421
update-file,secs/multi.tex,39,1217,50,28686078
update-file,secs/multi.tex,40,1217,50,48766023
update-file,secs/multi.tex,41,1217,50,67010036
update-file,secs/multi.tex,42,1217,50,32312118
update-file,secs/multi.tex,43,1217,50,61917408
update-file,secs/multi.tex,44,1217,50,26308587
update-file,secs/multi.tex,45,1217,50,28039414
update-file,secs/multi.tex,46,1217,50,26865543
update-file,secs/multi.tex,47,1217,50,30350074
update-file,secs/multi.tex,48,1217,50,72654837
update-file,secs/multi.tex,49,1217,50,253127131
update-file,secs/multi.tex,50,1217,50,49291646
update-file,secs/core.tex,1,12157,49,64471561
update-file,secs/core.tex,2,12157,49,27857665
update-file,secs/core.tex,3,12157,49,25401003
update-file,secs/core.tex,4,12157,49,91597581
update-file,secs/core.tex,5,12157,49,45423373
update-file,secs/core.tex,6,12157,49,28078730
update-file,secs/core.tex,7,12157,49,51848371
update-file,secs/core.tex,8,12157,49,51470974
update-file,secs/core.tex,9,12157,49,124430605
update-file,secs/core.tex,10,12157,49,55326443
update-file,secs/core.tex,11,12157,49,39771617
update-file,secs/core.tex,12,12157,49,31618837
update-file,secs/core.tex,13,12157,49,46472774
update-file,secs/core.tex,14,12157,49,50439483
update-file,secs/core.tex,15,12157,49,63496500
update-file,secs/core.tex,16,12157,49,78910600
update-file,secs/core.tex,17,12157,49,83056507
update-file,secs/core.tex,18,12157,49,52361487
update-file,secs/core.tex,19,12157,49,87023086
update-file,secs/core.tex,20,12157,49,104902083
update-file,secs/core.tex,21,12157,49,59778347
update-file,secs/core.tex,22,12157,49,54944256
update-file,secs/core.tex,23,12157,49,72146114
update-file,secs/core.tex,24,12157,49,92669674
update-file,secs/core.tex,25,12157,49,164253462
update-file,secs/core.tex,26,12157,49,47011092
update-file,secs/core.tex,27,12157,49,144271971
update-file,secs/core.tex,28,12157,49,39975577
update-file,secs/core.tex,29,12157,49,63321120
update-file,secs/core.tex,30,12157,49,64923140
update-file,secs/core.tex,31,12157,49,55420140
update-file,secs/core.tex,32,12157,49,33927317
update-file,secs/core.tex,33,12157,49,194218156
update-file,secs/core.tex,34,12157,49,62776968
update-file,secs/core.tex,35,12157,49,66501909
update-file,secs/core.tex,36,12157,49,61829684
update-file,secs/core.tex,37,12157,49,66624004
update-file,secs/core.tex,38,12157,49,66429196
update-file,secs/core.tex,39,12157,49,47931176
update-file,secs/core.tex,40,12157,49,52636610
update-file,secs/core.tex,41,12157,49,112793549
update-file,secs/core.tex,42,12157,49,37580899
update-file,secs/core.tex,43,12157,49,69654325
update-file,secs/core.tex,44,12157,49,77263923
