size,msg,repetition,time
10,1,0,22789180
10,1,1,17944498
10,1,2,22741703
10,1,3,22021181
10,1,4,20090672
10,1,5,18722961
10,1,6,23195667
10,1,7,20682583
10,1,8,22662100
10,1,9,24747970
10,1,10,18742025
10,1,11,22307375
10,1,12,28782274
10,1,13,20862778
10,1,14,18766442
10,1,15,22781324
10,1,16,26447788
10,1,17,21316478
10,1,18,20736116
10,1,19,18848551
10,1,20,20513456
10,1,21,20209623
10,1,22,20307309
10,1,23,25074557
10,1,24,24610771
10,1,25,22312734
10,1,26,23053556
10,1,27,21326567
10,1,28,21593484
10,1,29,23228493
10,1,30,17402899
10,1,31,20481378
10,1,32,26766127
10,1,33,28510852
10,1,34,27906467
10,1,35,21408790
10,1,36,23177485
10,1,37,21642120
10,1,38,23160621
10,1,39,21298126
10,1,40,29127140
10,1,41,19647326
10,1,42,20761819
10,1,43,24079114
10,1,44,18592870
10,1,45,22849886
10,1,46,20669362
10,1,47,25526909
10,1,48,26403414
10,1,49,22093155
10,1,50,19388903
10,1,51,19371232
10,1,52,20789949
10,1,53,21278211
10,1,54,28284287
10,1,55,21811623
10,1,56,25905020
10,1,57,58206161
10,1,58,28592512
10,1,59,55855194
10,1,60,29414062
10,1,61,31353942
10,1,62,29485944
10,1,63,21947534
10,1,64,21541162
10,1,65,24802289
10,1,66,23317232
10,1,67,22519225
10,1,68,28013920
10,1,69,22769378
10,1,70,39606225
10,1,71,28424019
10,1,72,19410393
10,1,73,22345242
10,1,74,25712909
10,1,75,22328271
10,1,76,20781319
10,1,77,23281209
10,1,78,21516491
10,1,79,21937463
10,1,80,22520886
10,1,81,33111385
10,1,82,49326729
10,1,83,20306075
10,1,84,25271673
10,1,85,22575614
10,1,86,22540760
10,1,87,22267456
10,1,88,25184343
10,1,89,22560022
10,1,90,26817116
10,1,91,22357476
10,1,92,25517750
10,1,93,21072059
10,1,94,21213594
10,1,95,24442990
10,1,96,22017072
10,1,97,24758160
10,1,98,29656245
10,1,99,109484902
10,10,0,209896153
10,10,1,227109803
10,10,2,219675403
10,10,3,256716948
10,10,4,256633253
10,10,5,211870624
10,10,6,228064645
10,10,7,213381467
10,10,8,297585725
10,10,9,210517365
10,10,10,243739365
10,10,11,216152456
10,10,12,221866015
10,10,13,247864965
10,10,14,221869013
10,10,15,236963782
10,10,16,223105781
10,10,17,224560532
10,10,18,366627226
10,10,19,230552050
10,10,20,211004059
10,10,21,233744096
10,10,22,217226185
10,10,23,232836009
10,10,24,244645959
10,10,25,229167924
10,10,26,223793974
10,10,27,227574638
10,10,28,389578506
10,10,29,237698031
10,10,30,246867647
10,10,31,209066512
10,10,32,243998314
10,10,33,242285250
10,10,34,236467722
10,10,35,241298800
10,10,36,224308986
10,10,37,229952827
10,10,38,405092572
10,10,39,256826697
10,10,40,264351604
10,10,41,199726659
10,10,42,239758354
10,10,43,267972002
10,10,44,239377886
10,10,45,214146689
10,10,46,207477807
10,10,47,231382868
10,10,48,370909771
10,10,49,211040459
10,10,50,267490722
10,10,51,212423347
10,10,52,237581176
10,10,53,211792408
10,10,54,238346932
10,10,55,200202696
10,10,56,239234691
10,10,57,251897900
10,10,58,323676798
10,10,59,234279607
10,10,60,222304132
10,10,61,266165557
10,10,62,227848137
10,10,63,280661104
10,10,64,210113216
10,10,65,275660282
10,10,66,232390089
10,10,67,296909888
10,10,68,299829967
10,10,69,227325846
10,10,70,221218421
10,10,71,251393048
10,10,72,218943202
10,10,73,277177116
10,10,74,294645837
10,10,75,213578735
10,10,76,215792686
10,10,77,255883955
10,10,78,276975510
10,10,79,220286047
10,10,80,229731828
10,10,81,226051850
10,10,82,221515531
10,10,83,232500901
10,10,84,223839956
10,10,85,209335713
10,10,86,209382902
10,10,87,259898019
10,10,88,286807824
10,10,89,226026236
10,10,90,228861303
10,10,91,232501010
10,10,92,246688238
10,10,93,229866658
10,10,94,288024703
10,10,95,216173593
10,10,96,226919610
10,10,97,195936803
10,10,98,322355088
10,10,99,212630624
10,25,0,570072979
10,25,1,578733566
